CITY,FUND_TYPE,AMOUNT,CITY_TARGET
ALPINE MEADOWS,INCOME_AMT,1075658.0,0
ALSEA,INCOME_AMT,7243960.0,0
ALSEY,INCOME_AMT,0.0,0
ALSIP,INCOME_AMT,648268491.0,0
ALSTEAD,INCOME_AMT,1806115.0,0
ALSTON,INCOME_AMT,0.0,0
ALTA,INCOME_AMT,3841644.0,0
ALTA LOMA,INCOME_AMT,5061292.0,0
ALTA MONTE SPTINGS,INCOME_AMT,0.0,0
ALTA VISTA,INCOME_AMT,33767.0,0
ALTADENA,INCOME_AMT,359825035.0,0
ALTAIR,INCOME_AMT,0.0,0
ALTAMAHAW,INCOME_AMT,0.0,0
ALTAMIRA RIO PIEDROS,INCOME_AMT,0.0,0
ALTAMONT,INCOME_AMT,87676725.0,0
ALTAMONTE,INCOME_AMT,0.0,0
ALTAMONTE SPG,INCOME_AMT,7818697945.0,0
ALTAMONTE SPRING,INCOME_AMT,0.0,0
ALTAMONTE SPRINGS,INCOME_AMT,6919843.0,0
ALTAMORTE SPRINGS,INCOME_AMT,0.0,0
ALTANTA,INCOME_AMT,427751.0,0
ALTAVILLE,INCOME_AMT,360078.0,0
ALTAVISTA,INCOME_AMT,12489264.0,0
ALTENBURG,INCOME_AMT,187558.0,0
ALTHA,INCOME_AMT,3454.0,0
ALTHEIMER,INCOME_AMT,22500.0,0
ALTLANTA,INCOME_AMT,0.0,0
ALTMAR,INCOME_AMT,253928.0,0
ALTO,INCOME_AMT,9888269.0,0
ALTO PASS,INCOME_AMT,358727.0,0
ALTON,INCOME_AMT,280577051.0,0
ALTON BAY,INCOME_AMT,2233478.0,0
ALTONA,INCOME_AMT,473555.0,0
ALTOONA,INCOME_AMT,2997467167.0,0
ALTUNA,INCOME_AMT,0.0,0
ALTURA,INCOME_AMT,3637925.0,0
ALTURAS,INCOME_AMT,26629362.0,0
ALTUS,INCOME_AMT,17981952.0,0
ALTUS AFB,INCOME_AMT,0.0,0
ALUM BANK,INCOME_AMT,1165003.0,0
ALUM BRIDGE,INCOME_AMT,95553.0,0
ALUM CREEK,INCOME_AMT,456963.0,0
ALVA,INCOME_AMT,27196247.0,0
ALVADA,INCOME_AMT,256386.0,0
ALVADORE,INCOME_AMT,0.0,0
ALVARADO,INCOME_AMT,4471346.0,0
ALVATON,INCOME_AMT,451041.0,0
ALVERDA,INCOME_AMT,0.0,0
ALVERTON,INCOME_AMT,0.0,0
ALVIN,INCOME_AMT,22895099.0,0
ALVISO,INCOME_AMT,82475012.0,0
ALVORD,INCOME_AMT,813242.0,0
ALVORDTON,INCOME_AMT,0.0,0
ALYS BEACH,INCOME_AMT,3351761.0,0
ALZADA,INCOME_AMT,0.0,0
AMA,INCOME_AMT,329658.0,0
AMADO,INCOME_AMT,1247835.0,0
AMADOR CITY,INCOME_AMT,2500.0,0
AMAGANSETT,INCOME_AMT,17437801.0,0
AMAGON,INCOME_AMT,16787.0,0
AMAIRLLO,INCOME_AMT,0.0,0
AMANA,INCOME_AMT,2830260.0,0
AMANDA,INCOME_AMT,1613225.0,0
AMANDA PARK,INCOME_AMT,0.0,0
AMARGOSA VALLEY,INCOME_AMT,0.0,0
AMARGOSA VLY,INCOME_AMT,599399.0,0
AMARILLO,INCOME_AMT,2220076680.0,0
AMASA,INCOME_AMT,0.0,0
AMAWALK,INCOME_AMT,1134771.0,0
AMAZONIA,INCOME_AMT,347916.0,0
AMBER,INCOME_AMT,142126.0,0
AMBERG,INCOME_AMT,738448.0,0
AMBERSON,INCOME_AMT,370225.0,0
AMBIA,INCOME_AMT,98089.0,0
AMBLER,INCOME_AMT,109208148.0,0
AMBOY,INCOME_AMT,7983315.0,0
AMBRIDGE,INCOME_AMT,9803671.0,0
AMBROSE,INCOME_AMT,0.0,0
AMELIA,INCOME_AMT,9882895.0,0
AMELIA CT HSE,INCOME_AMT,222359.0,0
AMELIA ISLAND,INCOME_AMT,20090253.0,0
AMENIA,INCOME_AMT,25793737.0,0
AMERIAN CANYON,INCOME_AMT,0.0,0
AMERICAN CANYON,INCOME_AMT,619678.0,0
AMERICAN CYN,INCOME_AMT,1359448.0,0
AMERICAN FALIS,INCOME_AMT,0.0,0
AMERICAN FALLS,INCOME_AMT,47457.0,0
AMERICAN FLS,INCOME_AMT,174388.0,0
AMERICAN FORK,INCOME_AMT,107062248.0,0
AMERICAN SAMOA,INCOME_AMT,0.0,0
AMERICUAS,INCOME_AMT,0.0,0
AMERICUS,INCOME_AMT,776179594.0,0
AMERY,INCOME_AMT,4247069.0,0
AMES,INCOME_AMT,645345981.0,0
AMESBURY,INCOME_AMT,28930485.0,0
AMESVILLE,INCOME_AMT,153887.0,0
AMHERST,INCOME_AMT,1894101468.0,0
AMHERST JCT,INCOME_AMT,5187604.0,0
AMHERSTDALE,INCOME_AMT,165415.0,0
AMIDON,INCOME_AMT,0.0,0
AMISSVILLE,INCOME_AMT,2849695.0,0
AMISTAD,INCOME_AMT,0.0,0
AMITE,INCOME_AMT,7990530.0,0
AMITY,INCOME_AMT,4148636.0,0
AMITY HARBOR,INCOME_AMT,153319.0,0
AMITYVILLE,INCOME_AMT,169678975.0,0
AMLIN,INCOME_AMT,226835.0,0
AMMA,INCOME_AMT,0.0,0
AMMON,INCOME_AMT,9778657.0,0
AMO,INCOME_AMT,265583.0,0
AMORITA,INCOME_AMT,0.0,0
AMORY,INCOME_AMT,34243786.0,0
AMSTEERDAM,INCOME_AMT,0.0,0
AMSTERDAM,INCOME_AMT,267793826.0,0
AMSTON,INCOME_AMT,550343.0,0
AN,INCOME_AMT,0.0,0
ANABEL,INCOME_AMT,0.0,0
ANACOCO,INCOME_AMT,1247863.0,0
ANACONDA,INCOME_AMT,146306408.0,0
ANACORTES,INCOME_AMT,28262033.0,0
ANACOSTIA ANX,INCOME_AMT,0.0,0
ANADARKO,INCOME_AMT,9644754.0,0
ANAHEIM,INCOME_AMT,2050024152.0,0
ANAHEIM HILLS,INCOME_AMT,25024824.0,0
ANAHIEM,INCOME_AMT,422365.0,0
ANAHOLA,INCOME_AMT,2992622.0,0
ANAHUAC,INCOME_AMT,1789297.0,0
ANAKTUVUK,INCOME_AMT,0.0,0
ANALOMINK,INCOME_AMT,40894.0,0
ANAMOOSE,INCOME_AMT,65287.0,0
ANAMOSA,INCOME_AMT,143831498.0,0
ANANHEIM,INCOME_AMT,0.0,0
ANASCO,INCOME_AMT,1283371.0,0
ANAWALT,INCOME_AMT,0.0,0
ANCHOR POINT,INCOME_AMT,1668293.0,0
ANCHORAGE,INCOME_AMT,5422732528.0,0
ANCHORVILLE,INCOME_AMT,0.0,0
ANCHROAGE,INCOME_AMT,0.0,0
ANCONA,INCOME_AMT,130594.0,0
ANCRAM,INCOME_AMT,774209.0,0
